32589.000000  10 80
32665.000000  50 80
32711.000000  79 80
32781.000000  125 80
32783.000000  126 80
32843.000000  167 80
32863.000000  180 80
32883.000000  194 80
32883.000000  194 80
32899.000000  205 80
32961.000000  247 80
32963.000000  248 80
32983.000000  261 80
32983.000000  261 80
32995.000000  270 80
33029.000000  293 80
33031.000000  294 80
33083.000000  329 80
33107.000000  346 80
33123.000000  356 80
33131.000000  362 80
33161.000000  382 80
33185.000000  399 80
33245.000000  439 80
33247.000000  441 80
33275.000000  460 80
33277.000000  461 80
33293.000000  472 80
33317.000000  488 80
33317.000000  488 80
33357.000000  515 80
33359.000000  517 80
33391.000000  539 80
33439.000000  571 80
33475.000000  595 80
33497.000000  611 80
33497.000000  611 80
33511.000000  620 80
33541.000000  640 80
33569.000000  659 80
33571.000000  661 80
33603.000000  683 80
33629.000000  700 80
33663.000000  723 80
33741.000000  776 80
33741.000000  776 80
33741.000000  776 80
33749.000000  782 80
33763.000000  791 80
33775.000000  799 80
33823.000000  832 80
33853.000000  852 80
33853.000000  852 80
33887.000000  875 80
33907.000000  889 80
33927.000000  903 80
33927.000000  903 80
33927.000000  903 80
33955.000000  922 80
33963.000000  927 80
34005.000000  956 80
34005.000000  956 80
34023.000000  968 80
34061.000000  994 80
34135.000000  1044 80
34135.000000  1044 80
34187.000000  1079 80
34209.000000  1095 80
34243.000000  1118 80
34303.000000  1159 80
34305.000000  1160 80
34357.000000  1195 80
34381.000000  1211 80
34393.000000  1220 80
34421.000000  1239 80
34435.000000  1248 80
34451.000000  1259 80
34499.000000  1292 80
34529.000000  1312 80
34531.000000  1313 80
34561.000000  1334 80
34609.000000  1367 80
34649.000000  1394 80
34683.000000  1417 80
34755.000000  1466 80
34815.000000  1507 80
34853.000000  1533 80
34887.000000  1556 80
34913.000000  1573 80
34969.000000  1612 80
34971.000000  1613 80
35003.000000  1635 80
35027.000000  1651 80
35083.000000  1689 80
35117.000000  1712 80
35141.000000  1729 80
35207.000000  1773 80
35259.000000  1809 80
35303.000000  1839 80
35315.000000  1847 80
35315.000000  1847 80
35347.000000  1869 80
35377.000000  1889 80
35379.000000  1891 80
35391.000000  1899 80
35391.000000  1899 80
35417.000000  1917 80
35433.000000  1927 80
35455.000000  1942 80
35485.000000  1963 80
35517.000000  1985 80
35547.000000  2005 80
35609.000000  2047 80
35611.000000  2049 80
35639.000000  2068 80
35639.000000  2068 80
35667.000000  2087 80
35667.000000  2087 80
35667.000000  2087 80
35685.000000  2099 80
35705.000000  2113 80
35719.000000  2122 80
35735.000000  2133 80
35769.000000  2156 80
35771.000000  2157 80
35773.000000  2159 80
35805.000000  2181 80
35827.000000  2196 80
35849.000000  2211 80
35881.000000  2232 80
35917.000000  2257 80
35943.000000  2275 80
35977.000000  2298 80
36001.000000  2314 80
36051.000000  2348 80
36051.000000  2348 80
36051.000000  2348 80
36051.000000  2348 80
36091.000000  2375 80
36181.000000  2437 80
36183.000000  2438 80
36217.000000  2461 80
36219.000000  2463 80
36239.000000  2476 80
36253.000000  2486 80
36285.000000  2508 80
36313.000000  2527 80
36315.000000  2528 80
36403.000000  2588 80
36405.000000  2589 80
36427.000000  2604 80
36519.000000  2667 80
36601.000000  2723 80
36659.000000  2762 80
36709.000000  2796 80
36747.000000  2822 80
36765.000000  2835 80
36779.000000  2844 80
36833.000000  2881 80
36835.000000  2882 80
36909.000000  2933 80
36925.000000  2943 80
36979.000000  2980 80
37015.000000  3005 80
37049.000000  3028 80
37103.000000  3065 80
37139.000000  3089 80
37163.000000  3106 80
37163.000000  3106 80
37225.000000  3148 80
37401.000000  3268 80
37417.000000  3279 80
37431.000000  3289 80
37789.000000  3532 80
37829.000000  3560 80
37869.000000  3587 80
37911.000000  3615 80
37949.000000  3641 80
37989.000000  3669 80
38005.000000  3680 80
38077.000000  3729 80
38131.000000  3766 80
38185.000000  3803 80
38209.000000  3819 80
38265.000000  3857 80
38279.000000  3867 80
38333.000000  3903 80
38383.000000  3937 80
38397.000000  3947 80
38455.000000  3986 80
38513.000000  4026 80
38567.000000  4063 80
38567.000000  4063 80
38613.000000  4094 80
38657.000000  4124 80
38699.000000  4153 80
38757.000000  4193 80
38789.000000  4214 80
38791.000000  4216 80
38853.000000  4258 80
38947.000000  4322 80
39009.000000  4364 80
39061.000000  4400 80
39147.000000  4458 80
39177.000000  4479 80
39197.000000  4493 80
39207.000000  4499 80
39233.000000  4517 80
39289.000000  4555 80
39379.000000  4617 80
39455.000000  4669 80
39519.000000  4712 80
39575.000000  4750 80
39611.000000  4775 80
39611.000000  4775 80
39611.000000  4775 80
39643.000000  4797 80
39671.000000  4816 80
39719.000000  4849 80
39755.000000  4873 80
40753.000000  5555 80
40783.000000  5575 80
40785.000000  5576 80
40789.000000  5579 80
40821.000000  5601 80
40845.000000  5617 80
40877.000000  5639 80
40901.000000  5655 80
40937.000000  5680 80
40967.000000  5700 80
40969.000000  5702 80
40987.000000  5714 80
41035.000000  5747 80
41059.000000  5763 80
41097.000000  5789 80
41145.000000  5822 80
41147.000000  5823 80
41185.000000  5849 80
41275.000000  5911 80
41299.000000  5927 80
41331.000000  5949 80
41365.000000  5972 80
41379.000000  5982 80
41381.000000  5983 80
41433.000000  6019 80
41467.000000  6042 80
41467.000000  6042 80
41467.000000  6042 80
41467.000000  6042 80
41561.000000  6106 80
41583.000000  6121 80
41583.000000  6121 80
41611.000000  6140 80
41625.000000  6149 80
41675.000000  6184 80
41713.000000  6209 80
41739.000000  6227 80
41787.000000  6260 80
41831.000000  6290 80
41875.000000  6320 80
41927.000000  6356 80
41939.000000  6364 80
41963.000000  6380 80
41963.000000  6380 80
41985.000000  6395 80
42017.000000  6417 80
42045.000000  6436 80
42047.000000  6438 80
42075.000000  6457 80
42099.000000  6473 80
42115.000000  6484 80
42125.000000  6491 80
42125.000000  6491 80
42201.000000  6543 80
42235.000000  6566 80
42281.000000  6597 80
42281.000000  6597 80
42307.000000  6615 80
42369.000000  6657 80
42415.000000  6689 80
42437.000000  6704 80
42439.000000  6705 80
42485.000000  6737 80
42515.000000  6757 80
42577.000000  6800 80
42579.000000  6801 80
42593.000000  6811 80
42619.000000  6828 80
42715.000000  6894 80
42747.000000  6916 80
42755.000000  6921 80
42787.000000  6943 80
42791.000000  6946 80
42817.000000  6963 80
42819.000000  6965 80
42825.000000  6969 80
42839.000000  6978 80
42871.000000  7000 80
42873.000000  7001 80
42877.000000  7004 80
42899.000000  7019 80
42961.000000  7062 80
43011.000000  7096 80
43027.000000  7107 80
43045.000000  7119 80
43059.000000  7129 80
43079.000000  7142 80
43097.000000  7155 80
43099.000000  7156 80
43139.000000  7183 80
43141.000000  7185 80
43161.000000  7198 80
43175.000000  7208 80
43231.000000  7246 80
43287.000000  7284 80
43321.000000  7308 80
43343.000000  7323 80
43343.000000  7323 80
43403.000000  7363 80
43471.000000  7410 80
43473.000000  7411 80
43485.000000  7419 80
43517.000000  7441 80
43525.000000  7447 80
43579.000000  7484 80
43601.000000  7499 80
43621.000000  7512 80
43635.000000  7522 80
43663.000000  7541 80
43665.000000  7543 80
43711.000000  7574 80
43737.000000  7592 80
43773.000000  7616 80
43821.000000  7649 80
43855.000000  7672 80
43855.000000  7672 80
43881.000000  7690 80
43897.000000  7701 80
43963.000000  7746 80
43999.000000  7771 80
44001.000000  7772 80
44075.000000  7823 80
44075.000000  7823 80
44075.000000  7823 80
44137.000000  7865 80
44139.000000  7866 80
44171.000000  7888 80
44197.000000  7906 80
44273.000000  7958 80
44297.000000  7974 80
44323.000000  7992 80
44323.000000  7992 80
44379.000000  8030 80
44381.000000  8031 80
44417.000000  8056 80
44503.000000  8115 80
44503.000000  8115 80
44503.000000  8115 80
44511.000000  8121 80
44545.000000  8144 80
44547.000000  8145 80
44599.000000  8181 80
44629.000000  8201 80
44661.000000  8223 80
44689.000000  8242 80
44691.000000  8243 80
44719.000000  8263 80
44749.000000  8283 80
44755.000000  8287 80
44761.000000  8291 80
44775.000000  8301 80
44799.000000  8317 80
44799.000000  8317 80
