24121.000000  39 80
24227.000000  107 80
24283.000000  144 80
24341.000000  183 80
24341.000000  183 80
24427.000000  242 80
24469.000000  270 80
24489.000000  284 80
24513.000000  301 80
24619.000000  373 80
24641.000000  388 80
24675.000000  411 80
24729.000000  448 80
24729.000000  448 80
24729.000000  448 80
24783.000000  485 80
24861.000000  538 80
24861.000000  538 80
24897.000000  563 80
24923.000000  580 80
24937.000000  590 80
24967.000000  610 80
25033.000000  655 80
25049.000000  666 80
25097.000000  699 80
25115.000000  711 80
25131.000000  722 80
25185.000000  759 80
25213.000000  778 80
25233.000000  792 80
25233.000000  792 80
25289.000000  830 80
25305.000000  841 80
25337.000000  863 80
25389.000000  899 80
25423.000000  922 80
25437.000000  931 80
25449.000000  940 80
25449.000000  940 80
25505.000000  978 80
25505.000000  978 80
25533.000000  997 80
25577.000000  1027 80
25579.000000  1028 80
25621.000000  1057 80
25647.000000  1075 80
25649.000000  1076 80
25659.000000  1083 80
25689.000000  1103 80
25721.000000  1125 80
25749.000000  1145 80
25759.000000  1151 80
25789.000000  1172 80
25799.000000  1179 80
25817.000000  1191 80
25819.000000  1193 80
25839.000000  1206 80
25859.000000  1220 80
25879.000000  1234 80
25913.000000  1257 80
25915.000000  1258 80
25935.000000  1272 80
25967.000000  1294 80
26009.000000  1322 80
26063.000000  1359 80
26093.000000  1380 80
26095.000000  1381 80
26121.000000  1399 80
26145.000000  1415 80
26155.000000  1422 80
26169.000000  1432 80
26183.000000  1441 80
26279.000000  1507 80
26315.000000  1532 80
26401.000000  1591 80
26439.000000  1617 80
26487.000000  1649 80
26549.000000  1692 80
26679.000000  1781 80
26701.000000  1796 80
26735.000000  1819 80
26757.000000  1834 80
26757.000000  1834 80
26823.000000  1879 80
26861.000000  1905 80
27035.000000  2025 80
27159.000000  2109 80
27287.000000  2197 80
27365.000000  2251 80
27399.000000  2274 80
27399.000000  2274 80
27431.000000  2296 80
27487.000000  2334 80
27523.000000  2359 80
27609.000000  2417 80
27647.000000  2443 80
27669.000000  2459 80
27693.000000  2475 80
27703.000000  2482 80
27743.000000  2509 80
27775.000000  2531 80
27843.000000  2578 80
27857.000000  2587 80
27881.000000  2604 80
27935.000000  2641 80
27991.000000  2679 80
28047.000000  2717 80
28049.000000  2719 80
28081.000000  2741 80
28105.000000  2757 80
28143.000000  2783 80
28191.000000  2816 80
28191.000000  2816 80
28219.000000  2835 80
28255.000000  2860 80
28311.000000  2898 80
28313.000000  2900 80
28335.000000  2915 80
28355.000000  2929 80
28369.000000  2938 80
28393.000000  2955 80
28393.000000  2955 80
28431.000000  2981 80
28487.000000  3019 80
28519.000000  3041 80
28521.000000  3042 80
28553.000000  3064 80
