38392.000000  29 80
38432.000000  52 80
38478.000000  81 80
38532.000000  117 80
38592.000000  157 80
38632.000000  184 80
38672.000000  211 80
38712.000000  239 80
38838.000000  325 80
38946.000000  399 80
39000.000000  436 80
39078.000000  489 80
39078.000000  489 80
39180.000000  559 80
39220.000000  587 80
39240.000000  600 80
39266.000000  618 80
39266.000000  618 80
39300.000000  641 80
39302.000000  643 80
39372.000000  691 80
39374.000000  692 80
39448.000000  743 80
39450.000000  744 80
39470.000000  758 80
39484.000000  768 80
39486.000000  769 80
39516.000000  789 80
39540.000000  806 80
39550.000000  813 80
39582.000000  835 80
39582.000000  835 80
39582.000000  835 80
39582.000000  835 80
39628.000000  866 80
39660.000000  888 80
39692.000000  910 80
39724.000000  932 80
39750.000000  950 80
39764.000000  959 80
39766.000000  961 80
39790.000000  977 80
39810.000000  991 80
39834.000000  1007 80
39848.000000  1017 80
39864.000000  1028 80
39890.000000  1046 80
39910.000000  1059 80
39958.000000  1093 80
39958.000000  1093 80
39958.000000  1093 80
39990.000000  1114 80
40002.000000  1123 80
40026.000000  1139 80
40034.000000  1145 80
40034.000000  1145 80
40034.000000  1145 80
40034.000000  1145 80
40060.000000  1162 80
40084.000000  1179 80
40092.000000  1184 80
40108.000000  1195 80
40116.000000  1201 80
40166.000000  1235 80
40190.000000  1251 80
40204.000000  1261 80
40226.000000  1276 80
40228.000000  1277 80
40278.000000  1312 80
40332.000000  1349 80
40340.000000  1354 80
40358.000000  1367 80
40358.000000  1367 80
40406.000000  1399 80
40456.000000  1434 80
40476.000000  1447 80
40524.000000  1481 80
40546.000000  1496 80
40562.000000  1507 80
40606.000000  1537 80
40658.000000  1573 80
40672.000000  1582 80
40688.000000  1593 80
40714.000000  1611 80
40748.000000  1634 80
40770.000000  1649 80
40770.000000  1649 80
40804.000000  1673 80
40836.000000  1695 80
40874.000000  1721 80
40876.000000  1722 80
40926.000000  1756 80
40952.000000  1774 80
40980.000000  1793 80
41026.000000  1825 80
41054.000000  1844 80
41062.000000  1850 80
41088.000000  1867 80
41104.000000  1879 80
41152.000000  1911 80
41208.000000  1950 80
41224.000000  1961 80
41254.000000  1981 80
41268.000000  1991 80
41302.000000  2015 80
41304.000000  2016 80
41330.000000  2034 80
41342.000000  2042 80
41376.000000  2065 80
41430.000000  2102 80
41460.000000  2123 80
41474.000000  2133 80
41508.000000  2156 80
41530.000000  2171 80
41532.000000  2172 80
41564.000000  2194 80
41596.000000  2216 80
41596.000000  2216 80
41638.000000  2245 80
41670.000000  2267 80
41682.000000  2275 80
41700.000000  2287 80
41726.000000  2305 80
41746.000000  2319 80
41756.000000  2326 80
41778.000000  2341 80
41814.000000  2366 80
41862.000000  2399 80
41898.000000  2423 80
41932.000000  2447 80
41934.000000  2448 80
41986.000000  2484 80
42008.000000  2499 80
42018.000000  2506 80
42032.000000  2516 80
42086.000000  2553 80
42118.000000  2575 80
42118.000000  2575 80
42144.000000  2592 80
42158.000000  2602 80
42212.000000  2639 80
42228.000000  2650 80
42282.000000  2687 80
42324.000000  2716 80
42336.000000  2724 80
42360.000000  2741 80
42374.000000  2750 80
42390.000000  2761 80
42406.000000  2772 80
42406.000000  2772 80
42434.000000  2791 80
42460.000000  2809 80
42468.000000  2815 80
42482.000000  2825 80
42530.000000  2857 80
42550.000000  2871 80
42572.000000  2886 80
42586.000000  2896 80
42596.000000  2903 80
42596.000000  2903 80
42606.000000  2910 80
42640.000000  2933 80
42642.000000  2935 80
42652.000000  2941 80
42658.000000  2946 80
42658.000000  2946 80
42684.000000  2963 80
42698.000000  2973 80
42720.000000  2988 80
42756.000000  3013 80
42758.000000  3014 80
42778.000000  3028 80
42792.000000  3037 80
42828.000000  3062 80
42862.000000  3085 80
42886.000000  3102 80
42886.000000  3102 80
42908.000000  3117 80
42956.000000  3150 80
42968.000000  3158 80
43006.000000  3185 80
43054.000000  3217 80
43094.000000  3245 80
43120.000000  3263 80
43134.000000  3273 80
43150.000000  3283 80
43222.000000  3333 80
43244.000000  3348 80
43300.000000  3387 80
43314.000000  3396 80
43314.000000  3396 80
43350.000000  3421 80
43352.000000  3422 80
43412.000000  3463 80
43436.000000  3480 80
43450.000000  3490 80
43474.000000  3506 80
43512.000000  3532 80
43514.000000  3533 80
43550.000000  3558 80
43564.000000  3568 80
43590.000000  3586 80
43598.000000  3591 80
43600.000000  3593 80
43620.000000  3606 80
43622.000000  3608 80
43634.000000  3616 80
43656.000000  3631 80
43704.000000  3664 80
43706.000000  3666 80
43758.000000  3701 80
43770.000000  3710 80
43786.000000  3721 80
43806.000000  3734 80
