10 514103543.933488 224199.436444 70866803.674794 445587.228751
20 64935225.834312 80673.936320 10028808.598172 224443.520168
30 810894.789138 21302.756129 1202935.234157 145820.551663
40 1063789.620275 30072.958271 2286000.711349 227326.547671
50 24441641.447109 55593.179767 4295697.488657 150044.227662
60 526339.237650 14452.681449 479259.170173 68841.459047
70 571901.816568 19074.122294 901406.779530 154655.134890
80 427994.340355 12731.586555 402364.190911 68265.767772
90 799034.347021 24281.486449 1369954.417616 193446.291325
100 544209.040578 13518.735359 366411.892423 67880.257780
